mesh input: /kaggle/input/notebooks/epsilonijk/vesuvius-spiral-fit/meshes_PHerc0191_cw30k_w100 exists
checkpoint /root/.cache/huggingface/hub/models--scrollprize--ink_9um/snapshots/7109667e2607db1b90c37c8b09cb876ea7fe7bb1/hybrid_3d2d-seed42/step-075000.pth
windings 27
w099: best letter-like blobs 1, frac200 0.00022, 784s
w096: best letter-like blobs 2, frac200 0.00046, 745s
w093: best letter-like blobs 5, frac200 0.00111, 693s
w090: best letter-like blobs 2, frac200 0.00035, 658s
w087: best letter-like blobs 1, frac200 0.00022, 631s
w084: best letter-like blobs 1, frac200 0.00019, 613s
w081: best letter-like blobs 0, frac200 0.00004, 582s
w078: best letter-like blobs 2, frac200 0.00042, 552s
w075: best letter-like blobs 0, frac200 0.00004, 525s
w072: best letter-like blobs 0, frac200 0.00005, 490s
w069: best letter-like blobs 1, frac200 0.00027, 480s
w066: best letter-like blobs 0, frac200 0.00014, 451s
w063: best letter-like blobs 0, frac200 0.00013, 422s
w060: best letter-like blobs 0, frac200 0.00007, 392s
w057: best letter-like blobs 0, frac200 0.00004, 362s
w054: best letter-like blobs 0, frac200 0.00020, 332s
w051: best letter-like blobs 0, frac200 0.00001, 303s
w048: best letter-like blobs 0, frac200 0.00002, 284s
w045: best letter-like blobs 0, frac200 0.00002, 259s
w042: best letter-like blobs 0, frac200 0.00001, 239s
w039: best letter-like blobs 1, frac200 0.00019, 216s
w036: best letter-like blobs 0, frac200 0.00012, 203s
w033: best letter-like blobs 0, frac200 0.00000, 165s
w030: best letter-like blobs 0, frac200 0.00005, 153s
w027: best letter-like blobs 0, frac200 0.00012, 130s
w024: best letter-like blobs 0, frac200 0.00000, 114s
w021: best letter-like blobs 0, frac200 0.00005, 102s
DONE [('w093', 5), ('w096', 2), ('w090', 2), ('w078', 2), ('w099', 1), ('w087', 1), ('w084', 1), ('w069', 1)]
windings 26
w022: best letter-like blobs 0, frac200 0.00011, 510s
w025: best letter-like blobs 0, frac200 0.00000, 139s
w028: best letter-like blobs 0, frac200 0.00000, 297s
w031: best letter-like blobs 0, frac200 0.00000, 193s
w034: best letter-like blobs 0, frac200 0.00010, 413s
w037: best letter-like blobs 0, frac200 0.00000, 427s
w040: best letter-like blobs 0, frac200 0.00001, 196s
w043: best letter-like blobs 0, frac200 0.00003, 226s
w046: best letter-like blobs 0, frac200 0.00002, 269s
w049: best letter-like blobs 0, frac200 0.00006, 329s
w052: best letter-like blobs 0, frac200 0.00002, 331s
w055: best letter-like blobs 1, frac200 0.00035, 483s
w058: best letter-like blobs 1, frac200 0.00014, 470s
w061: best letter-like blobs 1, frac200 0.00017, 335s
w064: best letter-like blobs 2, frac200 0.00029, 396s
w067: best letter-like blobs 1, frac200 0.00024, 456s
w070: best letter-like blobs 1, frac200 0.00042, 314s
w073: best letter-like blobs 1, frac200 0.00018, 354s
w076: best letter-like blobs 0, frac200 0.00012, 364s
w079: best letter-like blobs 0, frac200 0.00002, 352s
w082: best letter-like blobs 4, frac200 0.00074, 440s
w085: best letter-like blobs 2, frac200 0.00033, 399s
w088: best letter-like blobs 0, frac200 0.00009, 383s
w091: best letter-like blobs 1, frac200 0.00045, 392s
w094: best letter-like blobs 2, frac200 0.00041, 408s
w097: best letter-like blobs 1, frac200 0.00035, 422s
DONE [('w082', 4), ('w064', 2), ('w085', 2), ('w094', 2), ('w055', 1), ('w058', 1), ('w061', 1), ('w067', 1)]
windings 26
w023: best letter-like blobs 0, frac200 0.00000, 90s
w026: best letter-like blobs 0, frac200 0.00000, 96s
w029: best letter-like blobs 0, frac200 0.00000, 102s
w032: best letter-like blobs 1, frac200 0.00038, 111s
w035: best letter-like blobs 0, frac200 0.00000, 132s
w038: best letter-like blobs 0, frac200 0.00003, 136s
w041: best letter-like blobs 0, frac200 0.00000, 139s
w044: best letter-like blobs 0, frac200 0.00002, 149s
w047: best letter-like blobs 0, frac200 0.00000, 157s
w050: best letter-like blobs 0, frac200 0.00005, 164s
w053: best letter-like blobs 0, frac200 0.00010, 180s
w056: best letter-like blobs 0, frac200 0.00004, 192s
w059: best letter-like blobs 1, frac200 0.00042, 196s
w062: best letter-like blobs 1, frac200 0.00034, 206s
w065: best letter-like blobs 0, frac200 0.00006, 221s
w068: best letter-like blobs 0, frac200 0.00007, 230s
w071: best letter-like blobs 0, frac200 0.00003, 234s
w074: best letter-like blobs 1, frac200 0.00026, 247s
w077: best letter-like blobs 2, frac200 0.00031, 251s
w080: best letter-like blobs 0, frac200 0.00008, 270s
w083: best letter-like blobs 0, frac200 0.00023, 274s
w086: best letter-like blobs 1, frac200 0.00018, 289s
w089: best letter-like blobs 1, frac200 0.00017, 285s
w092: best letter-like blobs 1, frac200 0.00020, 303s
w095: best letter-like blobs 2, frac200 0.00059, 320s
w098: best letter-like blobs 4, frac200 0.00094, 366s
DONE [('w098', 4), ('w077', 2), ('w095', 2), ('w032', 1), ('w059', 1), ('w062', 1), ('w074', 1), ('w086', 1)]
