batch,scroll,window,direction,frac200,blobs_letterlike,p999,mean,verdict
p0125_b2_batch,PHerc0125,w021,ink,0.00087,1,200.0,91.54,negative
p0125_b2_batch,PHerc0125,w021,ink_reverse,0.00000,0,184.0,86.62,negative
p0125_b2_batch,PHerc0125,w022,ink,0.00004,0,192.0,86.8,negative
p0125_b2_batch,PHerc0125,w022,ink_reverse,0.00000,0,176.0,83.1,negative
p0125_b2_batch,PHerc0125,w024,ink,0.00035,1,185.0,83.27,negative
p0125_b2_batch,PHerc0125,w024,ink_reverse,0.00000,0,183.0,83.36,negative
p0125_b2_batch,PHerc0125,w025,ink,0.00006,0,188.0,81.33,negative
p0125_b2_batch,PHerc0125,w025,ink_reverse,0.00002,0,187.0,84.51,negative
p0125_b2_batch,PHerc0125,w027,ink,0.00019,0,194.0,84.49,negative
p0125_b2_batch,PHerc0125,w027,ink_reverse,0.00004,0,187.0,83.84,negative
p0125_b2_batch,PHerc0125,w028,ink,0.00000,0,183.0,86.88,negative
p0125_b2_batch,PHerc0125,w028,ink_reverse,0.00007,0,191.0,84.57,negative
p0125_b2_batch,PHerc0125,w030,ink,0.00000,0,178.0,83.37,negative
p0125_b2_batch,PHerc0125,w030,ink_reverse,0.00000,0,182.0,84.41,negative
p0125_b2_batch,PHerc0125,w031,ink,0.00000,0,186.0,82.42,negative
p0125_b2_batch,PHerc0125,w031,ink_reverse,0.00000,0,177.0,81.31,negative
p0125_b2_batch,PHerc0125,w033,ink,0.00000,0,179.0,81.53,negative
p0125_b2_batch,PHerc0125,w033,ink_reverse,0.00000,0,178.0,84.26,negative
p0125_b2_batch,PHerc0125,w034,ink,0.00000,0,181.0,82.51,negative
p0125_b2_batch,PHerc0125,w034,ink_reverse,0.00000,0,171.0,82.77,negative
p0125_b2_batch,PHerc0125,w036,ink,0.00019,1,186.0,85.77,negative
p0125_b2_batch,PHerc0125,w036,ink_reverse,0.00002,0,188.0,85.91,negative
p0125_b2_batch,PHerc0125,w037,ink,0.00007,0,192.0,83.57,negative
p0125_b2_batch,PHerc0125,w037,ink_reverse,0.00014,0,188.0,84.12,negative
p0125_b2_batch,PHerc0125,w039,ink,0.00000,0,176.0,81.99,negative
p0125_b2_batch,PHerc0125,w039,ink_reverse,0.00014,0,187.0,83.22,negative
p0125_b2_batch,PHerc0125,w040,ink,0.00000,0,175.0,81.69,negative
p0125_b2_batch,PHerc0125,w040,ink_reverse,0.00000,0,183.0,83.42,negative
p0125_b2_batch,PHerc0125,w041,ink,0.00001,0,186.0,84.54,negative
p0125_b2_batch,PHerc0125,w041,ink_reverse,0.00026,1,195.0,84.4,negative
p0125_b2_batch,PHerc0125,w042,ink,0.00003,0,192.0,84.43,negative
p0125_b2_batch,PHerc0125,w042,ink_reverse,0.00000,0,185.0,83.63,negative
p0125_b2_batch,PHerc0125,w043,ink,0.00003,0,186.0,84.87,negative
p0125_b2_batch,PHerc0125,w043,ink_reverse,0.00003,0,181.0,82.17,negative
p0125_b2_batch,PHerc0125,w044,ink,0.00002,0,188.0,85.0,negative
p0125_b2_batch,PHerc0125,w044,ink_reverse,0.00010,0,193.0,83.97,negative
p0125_b2_batch,PHerc0125,w045,ink,0.00000,0,186.0,83.02,negative
p0125_b2_batch,PHerc0125,w045,ink_reverse,0.00013,0,189.0,84.91,negative
p0125_b2_batch,PHerc0125,w046,ink,0.00000,0,189.0,82.65,negative
p0125_b2_batch,PHerc0125,w046,ink_reverse,0.00000,0,180.0,82.08,negative
p0125_b2_batch,PHerc0125,w047,ink,0.00000,0,180.0,82.82,negative
p0125_b2_batch,PHerc0125,w047,ink_reverse,0.00000,0,174.0,83.12,negative
p0125_b2_batch,PHerc0125,w048,ink,0.00001,0,190.0,84.22,negative
p0125_b2_batch,PHerc0125,w048,ink_reverse,0.00020,1,189.0,84.06,negative
p0125_b2_batch,PHerc0125,w049,ink,0.00001,0,189.0,84.68,negative
p0125_b2_batch,PHerc0125,w049,ink_reverse,0.00015,1,192.0,83.62,negative
p0125_b2_batch,PHerc0125,w050,ink,0.00002,0,187.0,83.53,negative
p0125_b2_batch,PHerc0125,w050,ink_reverse,0.00000,0,182.0,83.16,negative
p0125_b2_batch,PHerc0125,w051,ink,0.00021,1,189.0,83.15,negative
p0125_b2_batch,PHerc0125,w051,ink_reverse,0.00000,0,180.0,82.53,negative
p0125_b2_batch,PHerc0125,w052,ink,0.00000,0,178.0,81.38,negative
p0125_b2_batch,PHerc0125,w052,ink_reverse,0.00000,0,182.0,82.36,negative
p0125_b2_batch,PHerc0125,w053,ink,0.00027,1,191.0,84.57,negative
p0125_b2_batch,PHerc0125,w053,ink_reverse,0.00000,0,185.0,85.21,negative
p0125_b2_batch,PHerc0125,w054,ink,0.00024,1,192.0,85.33,negative
p0125_b2_batch,PHerc0125,w054,ink_reverse,0.00002,0,188.0,85.2,negative
p0125_b2_batch,PHerc0125,w055,ink,0.00012,1,182.0,82.17,negative
p0125_b2_batch,PHerc0125,w055,ink_reverse,0.00009,0,180.0,83.32,negative
p0125_b2_batch,PHerc0125,w056,ink,0.00015,0,182.0,82.26,negative
p0125_b2_batch,PHerc0125,w056,ink_reverse,0.00000,0,186.0,85.46,negative
p0125_b2_batch,PHerc0125,w057,ink,0.00004,0,183.0,82.47,negative
p0125_b2_batch,PHerc0125,w057,ink_reverse,0.00001,0,179.0,82.7,negative
p0125_b2_batch,PHerc0125,w058,ink,0.00012,1,186.0,80.94,negative
p0125_b2_batch,PHerc0125,w058,ink_reverse,0.00010,0,183.0,81.03,negative
p0125_b2_batch,PHerc0125,w059,ink,0.00000,0,182.0,80.7,negative
p0125_b2_batch,PHerc0125,w059,ink_reverse,0.00004,0,185.0,82.47,negative
p0125_b2_batch,PHerc0125,w060,ink,0.00000,0,180.0,79.91,negative
p0125_b2_batch,PHerc0125,w060,ink_reverse,0.00000,0,171.0,78.67,negative
p0125_b2_batch,PHerc0125,w061,ink,0.00016,1,177.0,80.78,negative
p0125_b2_batch,PHerc0125,w061,ink_reverse,0.00001,0,183.0,80.58,negative
p0125_b2_batch,PHerc0125,w062,ink,0.00001,0,185.80000000074506,80.98,negative
p0125_b2_batch,PHerc0125,w062,ink_reverse,0.00000,0,174.0,81.11,negative
p0125_b2_batch,PHerc0125,w063,ink,0.00000,0,180.0,81.75,negative
p0125_b2_batch,PHerc0125,w063,ink_reverse,0.00000,0,175.0,81.96,negative
p0125_b2_batch,PHerc0125,w064,ink,0.00000,0,183.0,84.09,negative
p0125_b2_batch,PHerc0125,w064,ink_reverse,0.00000,0,181.0,84.68,negative
p0125_b2_batch,PHerc0125,w065,ink,0.00000,0,181.0,84.28,negative
p0125_b2_batch,PHerc0125,w065,ink_reverse,0.00000,0,185.0,85.6,negative
p0125_b2_batch,PHerc0125,w066,ink,0.00001,0,187.0,83.93,negative
p0125_b2_batch,PHerc0125,w066,ink_reverse,0.00003,0,186.0,82.57,negative
p0125_b2_batch,PHerc0125,w067,ink,0.00010,1,185.0,83.51,negative
p0125_b2_batch,PHerc0125,w067,ink_reverse,0.00010,1,183.0,83.89,negative
p0125_b2_batch,PHerc0125,w068,ink,0.00000,0,176.0,82.63,negative
p0125_b2_batch,PHerc0125,w068,ink_reverse,0.00006,0,177.0,83.01,negative
p0125_b2_batch,PHerc0125,w069,ink,0.00000,0,184.0,81.31,negative
p0125_b2_batch,PHerc0125,w069,ink_reverse,0.00001,0,181.0,81.91,negative
p0125_b2_batch,PHerc0125,w070,ink,0.00001,0,183.0,82.55,negative
p0125_b2_batch,PHerc0125,w070,ink_reverse,0.00001,0,176.0,81.91,negative
p0125_b2_batch,PHerc0125,w071,ink,0.00004,0,180.0,81.32,negative
p0125_b2_batch,PHerc0125,w071,ink_reverse,0.00001,0,181.0,81.88,negative
p0125_b2_batch,PHerc0125,w072,ink,0.00007,0,172.0,80.69,negative
p0125_b2_batch,PHerc0125,w072,ink_reverse,0.00000,0,181.0,80.07,negative
p0125_b2_batch,PHerc0125,w073,ink,0.00005,0,178.0,81.17,negative
p0125_b2_batch,PHerc0125,w073,ink_reverse,0.00000,0,182.0,81.29,negative
p0125_b2_batch,PHerc0125,w074,ink,0.00002,0,181.0,80.77,negative
p0125_b2_batch,PHerc0125,w074,ink_reverse,0.00001,0,177.0,80.82,negative
p0125_b2_batch,PHerc0125,w075,ink,0.00000,0,172.0,80.9,negative
p0125_b2_batch,PHerc0125,w075,ink_reverse,0.00004,0,185.0,80.08,negative
p0125_b2_batch,PHerc0125,w076,ink,0.00000,0,171.0,81.46,negative
p0125_b2_batch,PHerc0125,w076,ink_reverse,0.00001,0,180.0,82.14,negative
p0125_b2_batch,PHerc0125,w077,ink,0.00016,1,191.0,81.32,negative
